"Johnson C. Smith","Virginia State"
"Pikeville","Virginias at Wise"
"Kalamazoo College","Wabash College"
"Iona College","Wagner College"
"West Liberty","Walsh"
"John Hopkins","Washington & Lee"
"Mac Murray","Washington MO"
"Otterbein College","Waynesburg College"
"Western State College","Weber State College"
"West Virginia Tech","Western Carolina"
"Western Illinois","Western Kentucky"
"Westfield State","Western New England"
"Sul Ross State","Western New Mexico"
"Fort Lewis College","Western Washington"
"Chapman University","Whittier College"
"Montana Tech","Whitworth College"
"Widener University","Wilkes University"
"Virginia Military","William & Mary"
"Evangel","William Jewell"
"Northern Illinois","Wisconsin"
"Lenoir-Rhyne College","West Virginia Wesleyan"
"Boise State","Wyoming"
"Tarleton State","Angelo State"
"Auburn","Mississippi State"
"Springfield College","Merchant Marine"
"Southern Connecticut","Bentley College"
"Central Florida","Marshall"
"Iona College","Saint John's NY"
"Rocky Mountain","Western Montana"
"Franklin College","Adrian College"
"Southern Mississippi","Alabama"
"Prairie View","Alabama A&M"
"Arkansas Pine Bluff","Alabama State"
"Buffalo State","Albion College"
"Saint Anselm","American International"
"Bates College","Amherst College"
"Southeastern Oklahoma State","Angelo State"
"Louisville","Army"
"Merrimack College","Assumption College"
"Minnesota State Mankato","Augustana SD"
"Dayton","Austin Peay"
"Newport News - Apprentice","Averett"
"Benedictine KS","Avila"
"Quincy","Bacone"
"Mount Union College","Baldwin-Wallace College"
"Tulsa","Baylor University"
"Cumberland KY","Belhaven"
"Lake Forest College","Beloit College"
"Morehouse College","Benedict College"
"Carthage College","Benedictine IL"
"Concordia Morehead","Bethel MN"
"Lock Haven University","Bloomsburg University"
"Massachusetts Dartmouth","Bridgewater State MA"
"Pace University","Bryant College"
"Cornell","Bucknell University"
"Wisconsin Stevens Point","Butler University"
"Massachusetts Lowell","LIU - C W Post"
"Air Force","California"
"West Virginia Wesleyan","California PA"
"Virginias at Wise","Campbellsville"
"Siena College","Canisius College"
"Ohio Northern","Capital University"
"Illinois College","Carroll WI"
"Western Oregon","Carson Newman"
"Oberlin College","Case Western Reserve"
"Fayetteville State","Catawba College"
"Loras College","Central College Iowa"
"Lindenwood University","Central Methodist"
"Saint Mary's CA","Central Washington"
"Pacific Lutheran","Chapman University"
"West Virginia State","Charleston Southern"
"Gardner-Webb University","Tennessee Chattanooga"
"Rowan University","Christopher Newport"
"Ohio State","Cincinnati"
"Puget Sound","Claremont Mudd Scripps"
"Glenville State College","Clarion University"
"Ball State","Clemson"
"Rensselaer","Coast Guard"
"Upper Iowa University","Coe College"
"Dartmouth College","Colgate"
"Fordham","Columbia"
"Anderson University","Concordia IL"
"Morningside","Concordia NE"
"Ohio University","Connecticut"
"California Poly State","Cal State Sacramento"
"Baker University","Culver-Stockton"
"Union College KY","Cumberland TN"
"Maine Maritime","Curry College"
"Dickinson St.","Dakota State"
"Nebraska Wesleyan","Dana"
"Grove City College","Defiance College"
"West Chester","Delaware"
"Florida A&M","Delaware State"
"Kings College","Delaware Valley College"
"Hanover College","DePauw University"
"Muhlenberg College","Dickinson College"
"Wisconsin La Crosse","Drake"
"Luther College","University of Dubuque"
"Marist College","Duquesne"
"Wabash College","Earlham College"
"Shepherd College","East Stroudsburg PA"
"Virginia Military","East Tennessee State"
"McMurry","East Texas Baptist"
"Indiana State","Eastern Illinois"
"Florida Atlantic","Eastern Kentucky"
"Northeastern State","Eastern New Mexico"
"Mars Hill College","Edward Waters"
"University of Chicago","Elmhurst College"
"Johnson C. Smith","Elon College"
"Sewanee","Emory & Henry College"
"Truman State","Emporia State"
"Missouri Valley","Evangel"
"Chowan College","Ferrum College"
"Bethune-Cookman College","Florida International"
"Duke","Florida State"
"Chadron State College","Fort Hays State"
"Adams State","Fort Lewis College"
"Kentucky State","Fort Valley State"
"Ursinus College","Franklin & Marshall"
"St. Mary's (Kansas)","Friends"
"Olivet Nazarene","Geneva"
"Fairfield","Georgetown University"
"Pikeville","Georgetown College KY"
"Northwestern Louisiana","Georgia"
"Wofford College","Georgia Southern"
"Brigham Young","Georgia Tech"
"Tennessee State","Grambling"
"Bethel TN","Greenville College"
"Ripon College","Grinnell College"
"Washington & Lee","Guilford College"
"Carleton College","Gustav Adolphus"
"Saint Thomas MN","Hamline University"
"Alcorn State","Hampton"
"Texas Lutheran","Hardin-Simmons"
"Holy Cross College","Harvard"
"Northwest Oklahoma","Haskell Indian Nation"
"Central Arkansas","Henderson State"
"Ashland University","Hillsdale College"
"James Madison","Hofstra"
"Maine","Howard University"
"Mississippi College","Howard Payne"
"Willamette Oregon","Humboldt State"
"San Diego State","Idaho"
"San Jose State","Illinois"
"Murray State","Illinois State"
"Washington MO","Illinois Wesleyan"
"Central Michigan","Indiana"
"New Haven","Indiana PA"
"Utah State","Iowa"
"Troy","Iowa State"
"Hartwick College","Ithaca College"
"Presbyterian College","Jacksonville FL"
"Wilmington College","John Carroll"
"Rochester","John Hopkins"
"Albright","Juniata College"
